Test Case,Drill On,Drill On 2,Rank,Rank 2,RAN Vendor,RNC,RNC 2,Controller,Controller 2,Event Type,Event Type 2,Failures,Failures 2,Impacted Subscribers,Impacted Subscribers 2,Event Time,IMSI,TAC,Terminal Make,Terminal Model,Procedure Indicator,Evaluation Case,Exception Class,Cause Value,Extended Cause Value,Severity Indicator,Access Area,Cause Code,Cause Code Id,CC Failures,Sub Cause Code Id,Sub Cause Code,Occurrences,LAC,RAC,Manufacturer,Model,Re-establishment Failures,Re-establishment Failures 2,Disconnection Description,Disconnection Code Id,Disconnection SubCode Id
5.5.31a,84640H,,,,Ericsson,smartone_R:RNC09:RNC09,,smartone_R:RNC09:RNC09,,,,5,,3,,,,,,,,,,,,,,NODE_INTERNAL_FAILURE_6,69,,43,RLC_FAILURE,,,,,,,,,,
5.5.31b,84455B,,,,Ericsson,smartone_R:RNC09:RNC09,,smartone_R:RNC09:RNC09,,Call Drops,,6,,3,,,454063302046770,35984204,Samsung,Galaxy Ace (S5830),NOT_APPLICABLE,NOT_APPLICABLE,SYSTEM_CONNECTION_TERMINATION,,,,84455B,HANDOVER_EVALUATION_FAILURE,123,,113,RELEASECONNOFFSET_EXCEEDED_FOR_NON_NEIGHBOUR_CELL,,8900,1,,,,,,,
5.5.32,84392B,,,,Ericsson,smartone_R:RNC09:RNC09,,smartone_R:RNC09:RNC09,,Call Setup Failures,,,,,,,454061199830891,1306100,Apple,iPhone 4S,RAB_ESTABLISHMENT,NOT_APPLICABLE,IUB_INTERFACE_NBAP_PROTOCOL_AREA,,,,84392B,119-FAILURE_WITH_CAUSE_OTHER_THAN_TRANSPORT_LAYER_CAUSE,119,,95,95-RADIO_LINK_FAILURE_INDICATION,,8900,3,,,,,,,
5.5.33,Packet Switch,INTERACTIVE_PS_EUL_HS,,,Ericsson,smartone_R:RNC09:RNC09,,smartone_R:RNC09:RNC09,,Call Setup Failures,,,,,,,454063302841949,35467204,HTC,PG41100,RAB_ESTABLISHMENT,NOT_APPLICABLE,UU_INTERFACE_RRC_PROTOCOL_AREA,PROCEDURE_TIMEOUT,RAB_ESTABLISHMENT_SEQUENCE_1,Unrecoverable,84141F,,,,,,,8900,2,,,,,,,
5.5.34,Packet Switch,INTERACTIVE_PS_EUL_HS,,,Ericsson,smartone_R:RNC09:RNC09,,smartone_R:RNC09:RNC09,,Call Drops,,,,,,,454063302943555,35965104,Samsung,GT-I9100,CHANNEL_SWITCHING,INACTIVITY,UU_INTERFACE_USER_PLANE_PROTOCOL_AREA,NODE_INTERNAL_FAILURE_6,RLC_FAILURE,Recoverable,82197C,,,,,,,8900,1,,,,,,,
5.5.35,RCS - Max RLC Retrans reached,,,,Ericsson,smartone_R:RNC09:RNC09,,smartone_R:RNC09:RNC09,,Call Drops,,,,,,,454061101478322,35152205,Samsung,Galaxy Tab 680,NOT_APPLICABLE,NOT_APPLICABLE,UU_INTERFACE_USER_PLANE_PROTOCOL_AREA,NODE_INTERNAL_FAILURE_6,RLC_FAILURE,Unrecoverable,84458F,,,,,,,8900,1,,,,,,,
5.5.36,RCS - Timer Expiry,,,,Ericsson,smartone_R:RNC09:RNC09,,smartone_R:RNC09:RNC09,,Call Drops,,,,,,,454063307062023,1254600,Apple,iPhone 4,NOT_APPLICABLE,NOT_APPLICABLE,UU_INTERFACE_USER_PLANE_PROTOCOL_AREA,EXPIRY_OF_RCS_TIMER,EXTENDED_CAUSE_VALUE_NOT_APPLICABLE,Unrecoverable,84441F,,,,,,,8900,1,,,,,,,
5.5.37,RCS - Max RLC Retrans reached,,,,Ericsson,smartone_R:RNC09:RNC09,,smartone_R:RNC09:RNC09,,Call Drops,,,,,,,454063302972089,35965104,Samsung,GT-I9100,CHANNEL_SWITCHING,INACTIVITY,UU_INTERFACE_USER_PLANE_PROTOCOL_AREA,NODE_INTERNAL_FAILURE_6,RLC_FAILURE,Recoverable,84325D,,,,,,,8900,1,,,,,,,
5.5.38,SOHO - Active Set Update (Addition),,,,Ericsson,smartone_R:RNC09:RNC09,,smartone_R:RNC09:RNC09,,Call Drops,,,,,,,454063302624311,35937204,Samsung,GT-I9100,SOFT_HANDOVER,RL_ADDITION,UU_INTERFACE_RRC_PROTOCOL_AREA,PROCEDURE_TIMEOUT,ACTIVE_SET_UPDATE_SEQUENCE,Unrecoverable,82801D,,,,,,,8900,2,,,,,,,
5.6.1,,,,,Ericsson,smartone_R:RNC09:RNC09,,smartone_R:RNC09:RNC09,,Call Drops,Call Setup Failures,94,33,70,32,,,35961604,,,,,,,,,,,,,,,,,,Samsung,GT-N7000,1,,,,
5.6.2,,,,,Ericsson,smartone_R:RNC09:RNC09,,smartone_R:RNC09:RNC09,,Call Drops,,,,,,,454063302551204,35530104,HTC,Incredible S,NOT_APPLICABLE,NOT_APPLICABLE,SYSTEM_CONNECTION_TERMINATION,REQUESTED_REQUEST_TYPE_NOT_SUPPORTED,EXTENDED_CAUSE_VALUE_NOT_APPLICABLE,Unrecoverable,84469E,,,,,,,,,HTC,Incredible S,,,,,
5.6.3,,,,,Ericsson,smartone_R:RNC09:RNC09,,smartone_R:RNC09:RNC09,,Call Setup Failures,,,,,,,454063302965635,35155405,Samsung,GT-I9250,RAB_ESTABLISHMENT,NOT_APPLICABLE,UU_INTERFACE_RRC_PROTOCOL_AREA,PROCEDURE_TIMEOUT,RAB_ESTABLISHMENT_SEQUENCE_1,Unrecoverable,84625D,,,,,,,,,Samsung,GT-I9250,,,,,
5.6.4,AutomationTerminalGroupTest,,,,,,,,,Call Drops,Call Setup Failures,157,49,109,47,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.6.5,AutomationTerminalGroupTest,,,,,,,,,Call Drops,,,,,,,454061106020986,35961604,Samsung,GT-N7000,SERVING_HSDSCH_CELL_CHANGE,HS_CELL_CHANGE_EXECUTED,UU_INTERFACE_RRC_PROTOCOL_AREA,PROCEDURE_TIMEOUT,HS_CELL_CHANGE_SEQUENCE,Unrecoverable,84794E,,,,,,,,,,,,,,,
5.6.6,AutomationTerminalGroupTest,,,,,,,,,Call Setup Failures,,,,,,,454063302741805,35961604,Samsung,GT-N7000,MOBILITY,FALLBACK_TO_R99,UU_INTERFACE_RRC_PROTOCOL_AREA,PROCEDURE_TIMEOUT,CHANNEL_SWITCH_SEQUENCE_1,Unrecoverable,84529A,,,,,,,,,,,,,,,
5.7.1,,,,,,,,,,Call Setup Failures,,9,,,,,454063302838695,,,,,,,,,,,,,,,,,,,,,,,,,
5.7.2,,,,,,,,,,Call Setup Failures,,9,,,,10:14:55,454063302838695,35478104,Samsung,GT-I9000,NOT_APPLICABLE,NOT_APPLICABLE,SYSTEM_CONNECTION_TERMINATION,REQUESTED_REQUEST_TYPE_NOT_SUPPORTED,EXTENDED_CAUSE_VALUE_NOT_APPLICABLE,Unrecoverable,84456B,,,,,,,,,,,,,,,
5.7.3,,,,,,,,,,Call Drops,,,,,,10:05:42,454064500576547,35598303,Huawei,B970b,CALL_REESTABLISHMENT,NOT_APPLICABLE,UU_INTERFACE_USER_PLANE_PROTOCOL_AREA,EXPIRY_OF_RCS_TIMER,EXTENDED_CAUSE_VALUE_NOT_APPLICABLE,Unrecoverable,84527G,,,,,,,,,,,,,,,
5.7.4,AutomationIMSIGroup,,,,,,,,,Call Drops,,,,,,10:05:27,454063302594974,35478104,Samsung,GT-I9000,SOFT_HANDOVER,RL_ADDITION,UU_INTERFACE_USER_PLANE_PROTOCOL_AREA,EXPIRY_OF_RCS_TIMER,EXTENDED_CAUSE_VALUE_NOT_APPLICABLE,Unrecoverable,82040A,,,,,,,,,,,,,,,
5.7.5,AutomationIMSIGroup,,,,,,,,,Call Drops,Call Setup Failures,7,1,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.7.6,AutomationIMSIGroup,,,,,,,,,Call Setup Failures,,,,,,,454063302594974,35478104,Samsung,GT-I9000,RAB_ESTABLISHMENT,NOT_APPLICABLE,UU_INTERFACE_RRC_PROTOCOL_AREA,PROCEDURE_TIMEOUT,RAB_ESTABLISHMENT_SEQUENCE_1,Unrecoverable,82095D,,,,,,,,,,,,,,,
